test_size,percent
0.0500,0.88889
0.1000,0.77778
0.1500,0.77778
0.2000,0.77778
0.2500,0.75556
0.3000,0.75926
0.3500,0.76190
0.4000,0.75000
0.4500,0.72840
0.5000,0.74157
0.5500,0.74490
0.6000,0.71963
0.6500,0.73276
0.7000,0.75200
0.7500,0.75373
0.8000,0.75524
0.8500,0.73026
0.9000,0.70186
